Workforce size	Trading status: Continuing to trade	Trading status: Has permanently ceased trading	Trading status: Has temporarily closed or temporarily paused trading	Applied for: Coronavirus Job Retention Scheme	Applied for: Business rates holiday	Applied for: Deferring VAT payments	Applied for: HMRC Time To Pay scheme	Applied for: Government-funded small business grant or loan schemes	Applied for: Accredited finance agreements	Applied for: We have not applied for any of these initiatives	Received: Coronavirus Job Retention Scheme	Received: Business rates holiday	Received: Deferring VAT payments	Received: HMRC Time To Pay scheme	Received: Government-funded small business grant or loan schemes	Received: Accredited finance agreements	Received: We haven't received any that we applied for	Will apply for: Coronavirus Job Retention Scheme	Will apply for: Business rates holiday	Will apply for: Deferring VAT payments	Will apply for: HMRC Time To Pay scheme	Will apply for: Government-funded small business grant or loan schemes	Will apply for: Accredited finance agreements	Will apply for: None of the above
 < 250 	0.748	0.005	0.247	0.687	0.272	0.56	0.224	0.135	0.112	0.198	0.221	0.186	0.407	0.168	0.085	0.023	0.205	0.367	0.089	0.202	0.094	0.046	0.085	0.48
 250 +	0.798	0.005	0.197	0.647	0.279	0.571	0.222	0.073	0.079	0.223	0.224	0.2	0.461	0.168	0.046	0.011	0.163	0.37	0.094	0.169	0.078	0.027	0.072	0.486
All Size Bands	0.767	0.005	0.228	0.672	0.274	0.564	0.223	0.112	0.099	0.207	0.222	0.191	0.427	0.168	0.07	0.018	0.189	0.368	0.091	0.19	0.088	0.039	0.08	0.482
